Patrick Mahomes
Ben Roethlisberger
Aaron Rodgers
Russell Wilson
Matt Ryan
Jared Goff
Andrew Luck
Jameis Winston
Deshaun Watson
Tom Brady
Philip Rivers
Lamar Jackson
Nick Foles
Josh Allen
Mitchell Trubisky
